sku,description,prod_type,comm_class,lot_control_flag,primary_dc,abc_code,fin_rprt_grp,sku_entry_date,sku_status,discon_date
586163NUT,Allergy Relief Cpas Sample,OTC,Sample,No,NJWH100A,B,OTCNJ5776,8/25/2025,Active,
125042WHH,Cough Syrup Private Label,,Private Label,Yes,PAWH200B,C,OTCPA9918,1/11/2023,Inactive,
514067XGB,Cough Syrup,OTC,General Market,No,CADC400D,B,OTCCA4588,3/11/2021,Inactive,
820079FWP,Antacid Chewables,OTC,General Market,Yes,CADC400D,B,OTCCA7834,7/1/2019,Active,
302346AWO,Allergy Relief Caps Private Lable,OTC,Private Label,Yes,TXDC300C,C,OTCTX9715,11/9/2021,Inactive,
181040SQP,Pain Rleief Tablets,OTC,Private Label,Yes,ILWH500E,A,OTCIL8702,8/24/2023,Active,
866308SYZ,Cold and Flu Capsules Sample,OTC,Sample,Yes,CADC400D,C,OTCCA6648,8/22/2023,Inactive,
456255BBF,Ibuprofen 10mg Tablets Sample,Pharma,Sample,Yes,CADC400D,C,PHRCA1063,4/30/2024,Inactive,
966364HJC,Cough Syrup Sampel,,Sample,Yes,NJWH100A,C,INVALIDFRG1,1/22/2020,Inactive,
756512JHY,Metformin 10mg Tablets Private Label,Pharma,Private Label,Yes,NJWH100A,C,PHRNJ6344,3/3/2024,Active,
385549ASE,Hydrochlorothiazide 250mg Tablets,Pharma,Private Label,No,TXDC300C,A,PHRTX3311,12/10/2019,Inactive,
263794FHC,Lisinoprli 250mg Tablets,Pharma,General Market,Yes,ILWH500E,C,INVALIDFRG1,8/16/2017,Inactive,
334954GBK,Atorvastatin 50mg Tablets Sample,Pharma,Sample,Yes,TXDC300C,B,INVALIDFRG1,9/5/2018,Inactive,
707383OUU,Antacid Chewables,OTC,Private Label,Yes,ILWH500E,C,OTCIL2867,5/5/2022,Inactive,
411939WTN,Cough Syrup Sample,OTC,,Yes,PAWH200B,C,OTCPA6400,2/20/2023,Active,
611148CWI,Hydrochlorothiazide 20mg Tablets,Pharma,General Market,Yes,NJWH100A,A,PHRNJ2903,11/11/2017,Inactive,
248906YHX,Hydrochlorothiazide 100mg Tablets,Pharma,General Market,Yes,ILWH500E,A,PHRIL2014,7/23/2025,Inactive,
387765ZPX,Pain Relief Tablets,OTC,Sample,Yes,TXDC300C,A,INVALIDFRG1,6/16/2025,Inactive,
592775VIO,Levothyroxine 250mg Tablets Private Label,Pharma,Private Label,Yes,TXDC300C,A,PHRTX4381,11/25/2019,Active,
111743GJC,Allergy Relief Caps Private Label,OTC,Private Label,Yes,,A,OTCNJ1426,5/14/2022,Active,
315770ONB,Cold and Flu Capslues,,General Market,Yes,ILWH500E,C,OTCIL5295,3/8/2021,Active,
982040ZGB,Losartan 5mg Tablets,Pharma,Private Label,Yes,PAWH200B,A,PHRPA8310,3/13/2022,Inactive,
151803HOE,Allergy Relief Caps,OTC,,Yes,PAWH200B,B,OTCPA7302,5/6/2017,Inactive,
417133XHV,Cold and Flu Capsules Sample,OTC,Sample,Yes,ILWH500E,B,OTCIL4082,8/6/2020,Active,
634407VBB,Coug hSyrup Sample,OTC,Sample,Yes,TXDC300C,C,OTCTX4896,7/24/2019,Active,
119818TTC,Sertraline 20mg Tablets,Pharma,General Market,Yes,PAWH200B,A,PHRPA4079,8/21/2022,Active,
946363PCZ,Amoxicillin 5mg Tablets,Pharma,Private Label,Yes,TXDC300C,A,PHRTX7937,9/1/2022,Active,
140498CPW,Cold and Flu Capsules aSmple,OTC,Sample,Yes,NJWH100A,B,OTCNJ6973,11/13/2019,Inactive,
793762LXH,Cough Syrup,OTC,General Market,Yes,CADC400D,C,OTCCA7872,9/11/2022,Active,
550692ANR,Levothyroxine 250mg Tablets,Pharma,General Market,Yes,TXDC300C,A,PHRTX6516,3/11/2025,Active,
697415TXS,Losartan 250mg Tablets,Pharma,Private Label,Yes,CADC400D,B,PHRCA4815,4/6/2020,Active,
663061WJP,Hydrochlorothiazide 100mg Tablets Sample,Pharma,Sample,Yes,TXDC300C,C,PHRTX1292,2/6/2021,Active,
573445COM,Amoxicillin 50mg Tablets,Pharma,General Market,Yes,NJWH100A,B,PHRNJ9315,4/18/2025,Active,
468582MYG,Ibuprofen 50mg Tablets Private Label,Pharma,Private Label,Yes,TXDC300C,C,PHRTX6852,3/17/2020,Active,
537229ATF,Pian Relief Tablets,OTC,Private Label,Yes,TXDC300C,B,OTCTX6613,9/25/2022,Inactive,
959070YOF,Losartan 20mg Tablets Sample,Pharma,Sample,Yes,CADC400D,C,PHRCA3791,12/11/2019,Inactive,
516907XSS,Pain Relief Tablets Sample,OTC,Sample,Yes,PAWH200B,C,OTCPA7448,11/6/2022,Active,
115960LRB,Losartan 20mg Tablets,,General Market,Yes,TXDC300C,C,PHRTX3171,7/29/2020,Inactive,
545887ZMG,Hydrochlorothiazide 20mg Tablets,Pharma,Private Label,Yes,NJWH100A,C,PHRNJ1038,2/16/2020,Active,
838723DSX,Levothyroxine 250mg Tablets Sample,Pharma,Sample,Yes,ILWH500E,B,PHRIL7734,6/6/2021,Inactive,
21674M4FF,Cold and Flu Capsules,OTC,General Market,Yes,,B,OTCTX7269,12/11/2017,Inactive,
360794BEP,Cold and Flu Capsules,OTC,Sample,Yes,TXDC300C,A,OTCTX7329,10/18/2024,Inactive,
903295VMP,Ibuprofen 100mg Tablets,Pharma,,Yes,PAWH200B,C,PHRPA5838,3/7/2017,Inactive,7/19/2028
937369UBF,Metformin 5mg Tablets,Pharma,Sample,Yes,NJWH100A,A,PHRNJ1186,3/17/2025,Active,
675838TCO,Atorvastatin 20mg Tablets Sample,Pharma,,No,NJWH100A,C,INVALIDFRG1,4/15/2023,Inactive,
929110BOJ,Amoxicillin 100mg Tablets,Pharma,General Market,Yes,CADC400D,A,PHRCA2360,9/7/2025,Inactive,
320840NFX,Lisinopril 100mg Tablets,Pharma,Sample,Yes,NJWH100A,C,PHRNJ8604,7/3/2022,Inactive,
227173XJY,Levothyroxine 10mg Tablets,Pharma,Private Label,Yes,TXDC300C,C,PHRTX4696,2/25/2024,Active,
772830GVB,Allergy Relief Caps Sample,OTC,Sample,Yes,PAWH200B,C,OTCPA4437,6/21/2018,Active,
361716IOZ,Cold and Flu Capsules Private Label,OTC,,Yes,PAWH200B,C,OTCPA8238,6/26/2019,Inactive,
528621GPF,Omeprazole 20mg Tablets,Pharma,General Market,Yes,NJWH100A,A,PHRNJ6089,6/23/2022,Active,
534046IGW,Cold and Flu Capsules,OTC,Private Label,Yes,NJWH100A,C,OTCNJ1271,9/19/2025,Inactive,
458922BYO,Allergy Relief Caps,OTC,General Market,Yes,TXDC300C,C,INVALIDFRG1,11/26/2020,Active,
848905NBQ,Antacid Chewables Sample,OTC,,Yes,ILWH500E,B,OTCIL7009,9/20/2017,Inactive,
138537XNJ,Atorvastatin 10mg Tablets,Pharma,Private Label,Yes,NJWH100A,C,PHRNJ1696,8/5/2023,Active,
888611QSD,Pain Relief Tablets Sample,OTC,Sample,Yes,TXDC300C,C,OTCTX9934,6/16/2019,Active,
844450EAR,Levothyroxine 250mg Tablets,Pharma,General Market,Yes,NJWH100A,B,PHRNJ1874,3/14/2022,Active,
299551FMS,Cold and Flu Capsules,OTC,General Market,Yes,PAWH200B,A,OTCPA5819,10/16/2020,Active,
419097KMF,Atorvastatin 5mg Tablets,Pharma,General Market,Yes,ILWH500E,A,PHRIL4841,2/12/2025,Active,
252615WCK,Atorvastatin 100mg Tablets,Pharma,General Market,Yes,NJWH100A,C,PHRNJ6092,12/4/2023,Active,
448712IVN,Losartan 250mg Tablets,Pharma,General Market,Yes,PAWH200B,A,PHRPA5226,1/1/2025,Inactive,
765537OET,Atorvastatin 5mg Tbalets,Pharma,General Market,Yes,ILWH500E,B,PHRIL8865,6/8/2025,Active,
99379Z8HH,Ibuprofen 50mg Tablets,Pharma,General Market,Yes,CADC400D,A,PHRCA4737,5/17/2020,Active,
937645CQF,Allergy Relief Caps Sample,OTC,Sample,Yes,TXDC300C,A,OTCTX4497,3/18/2025,Inactive,
437785GAV,Cough Syrup Sample,OTC,Sample,Yes,PAWH200B,B,OTCPA6903,10/19/2019,Active,
847089NDL,Cough Syrup Sample,OTC,Sample,Yes,TXDC300C,A,OTCTX1708,7/16/2025,Active,
331515AHM,Cold and Flu Capsules,OTC,Private Label,Yes,NJWH100A,C,OTCNJ1654,12/1/2022,Active,
578574GQP,Cough Syrup Private Label,OTC,Private Label,Yes,PAWH200B,A,OTCPA2983,9/22/2023,Inactive,
571847IYO,Ibuprofen 50mg Tablets,Pharma,Sample,Yes,,A,PHRTX4570,9/14/2025,Active,
575621RZL,Ibuprofen 10mg Tablets,Pharma,Sample,Yes,CADC400D,A,PHRCA9113,11/11/2021,Active,
595278MPV,Levothyroxine 50mg Tablets Private Label,Pharma,Private Label,Yes,TXDC300C,A,PHRTX2789,3/2/2022,Active,
168421SIO,Pain ReliefT ablets,OTC,Sample,Yes,CADC400D,B,OTCCA6419,3/11/2021,Active,
334605ORY,Omeprazole 50mg Tablets Sample,Pharma,Sample,Yes,PAWH200B,B,INVALIDFRG1,7/27/2023,Inactive,
727028QQF,Cold and Flu Capsules Private Label,,Private Label,No,CADC400D,A,OTCCA5272,3/10/2021,Inactive,
481583GUB,Allergy Relief Caps Sample,OTC,Sample,Yes,TXDC300C,C,OTCTX8514,7/17/2017,Inactive,
870343NMQ,Allergy Relief Caps,OTC,Private Label,Yes,NJWH100A,A,OTCNJ9758,12/11/2017,Inactive,
911238GRG,Losartan 250mg Tablets Sample,Pharma,Sample,Yes,TXDC300C,B,PHRTX8248,7/4/2023,Active,3/15/2030
812753JTO,Losartan 5mg Tablets Private Label,,Private Label,Yes,TXDC300C,C,PHRTX4416,7/7/2022,Active,
538507EUX,Antacid Chewables,OTC,General Market,Yes,CADC400D,C,OTCCA3970,8/3/2017,Inactive,
230838COF,Hydrochlorothiazide 100mg Tablets Private Label,Pharma,Private Label,Yes,PAWH200B,C,PHRPA8967,10/24/2017,Active,9/3/2019
611258TIX,Cold and Flu Capsules,OTC,Private Label,Yes,CADC400D,A,OTCCA7834,9/22/2017,Active,
131324FNF,Atorvastatin 5mg Tablets Sample,Pharma,Sample,Yes,TXDC300C,B,PHRTX9677,9/2/2020,Active,10/8/2030
269195DBF,Atorvastatin 10mg Tablets Private Label,Pharma,Private Label,Yes,CADC400D,C,PHRCA7886,11/2/2020,Inactive,
246298JEP,Losartan 20mg Tablets Private Label,,Private Label,Yes,,B,PHRTX5373,12/11/2023,Active,
879041AAV,Ibuprofen 250mg Tablets,Pharma,General Market,Yes,ILWH500E,B,PHRIL3937,6/1/2017,Inactive,
46182C7HP,Losartan 100mg Tablets,Pharma,Private Label,Yes,NJWH100A,C,PHRNJ8455,10/10/2020,Active,
690336GMR,Cold and Flu Capsules Private Label,OTC,Private Label,Yes,NJWH100A,,OTCNJ8794,3/21/2025,Active,
117551LJB,Cough Syrup Private Label,OTC,Private Label,Yes,CADC400D,A,OTCCA3048,8/4/2019,Inactive,
188643GAX,Lisinopril 250mg Tablets Sample,Pharma,Sample,Yes,TXDC300C,B,PHRTX1313,6/16/2017,Active,
313081NAI,Antacid Chewables Sample,OTC,Sample,Yes,TXDC300C,C,OTCTX1461,7/2/2020,Inactive,
500500VNV,Allergy Relief Caps Sample,,Sample,Yes,PAWH200B,C,OTCPA8961,3/25/2018,Active,
909353GJL,Allergy Relief Caps,OTC,General Market,Yes,ILWH500E,A,INVALIDFRG1,8/17/2025,Active,
730273JKS,Cold and Flu Capsules,OTC,General Market,Yes,TXDC300C,B,OTCTX4114,5/13/2018,Active,3/23/2031
696506GAJ,Lisinopril 10mg Tablets,Pharma,General Market,Yes,,C,PHRPA9269,10/17/2022,Inactive,
268600JPV,Allergy Relief Caps,OTC,General Market,Yes,ILWH500E,C,OTCIL2421,3/5/2022,Inactive,
496728ICR,Lisinopril 5mg Tablets,Pharma,Private Label,Yes,PAWH200B,B,PHRPA5948,2/25/2024,Active,9/2/2029
175231LYX,Amoxicillin 10mg Tablets,Pharma,Sample,Yes,NJWH100A,A,PHRNJ1210,2/23/2025,Inactive,
726001DSQ,Allergy Relief Caps,OTC,,Yes,NJWH100A,C,OTCNJ9933,7/27/2022,Active,
953047JWH,Omeprazole 20mg Tablets,,General Market,Yes,NJWH100A,B,PHRNJ4550,5/21/2021,Active,
551173CUA,Levothyroxine 20mg Tablets,Pharma,Private Label,Yes,,B,PHRTX9726,10/3/2024,Active,
105984ZNX,Omeprazole 5mg Tablets Sample,Pharma,Sample,Yes,TXDC300C,B,PHRTX1770,5/22/2022,Active,
630135KCH,Lisinopril 5mg Tablets Private Label,Pharma,Private Label,Yes,CADC400D,C,PHRCA8075,9/16/2017,Active,
362412SAF,Pain Relief Tablets Sample,OTC,Sample,Yes,ILWH500E,B,OTCIL1800,10/4/2017,Active,
697659FXH,Ibuprofen 50mg Tablets,Pharma,Private Label,Yes,CADC400D,A,PHRCA7677,9/11/2024,Active,
976224QQH,Sertraline 250mg Tablets Private Label,Pharma,Private Label,Yes,,B,PHRPA4672,6/21/2025,Inactive,
305689XPX,Sertraline 100mg Tablets,Pharma,Private Label,Yes,ILWH500E,C,PHRIL7006,1/19/2018,Inactive,
975669LQK,Sertraline 250mg Tablets,Pharma,,No,ILWH500E,B,PHRIL3101,8/13/2019,Active,
466623SWS,Losartan 250mg Tablets,Pharma,General Market,Yes,ILWH500E,C,INVALIDFRG1,3/22/2018,Inactive,2/5/2027
718188LXH,Lisinopril 100mg Tablets,Pharma,General Market,Yes,PAWH200B,A,PHRPA5022,3/28/2023,Inactive,
274120GPD,Pain Relief Tablets,OTC,General Market,Yes,NJWH100A,A,OTCNJ8249,4/16/2017,Inactive,
774510NTB,Cold and Flu Capsules,OTC,General Market,Yes,NJWH100A,B,OTCNJ3532,9/8/2017,Active,
509733LRA,Amoxicillin 250mg Tablets,Pharma,General Market,Yes,PAWH200B,A,PHRPA1518,12/10/2021,Active,
535116NUS,Antacid Chewables,OTC,General Market,Yes,PAWH200B,C,OTCPA7875,1/10/2024,Active,
480746USY,Levothyroxine 10mg Tablets,Pharma,General Market,Yes,ILWH500E,C,PHRIL3443,8/9/2022,Active,
643277GWG,Atorvastatin 250mg Tablets,Pharma,Private Label,Yes,PAWH200B,C,PHRPA7264,11/6/2022,Active,
113286JEE,Allergy Relief Caps Private Label,OTC,Private Label,Yes,TXDC300C,C,OTCTX3181,3/25/2017,Inactive,
664133NQZ,Atorvastatin 20mg Tablets,Pharma,General Market,Yes,PAWH200B,B,PHRPA5780,12/5/2019,Inactive,12/19/2026
514851MXO,Sertraline 50mg Tablets Sample,Pharma,Sample,Yes,NJWH100A,C,PHRNJ6924,12/1/2017,Inactive,
483281TRA,Metformin 250mg Tablets,Pharma,General Market,Yes,CADC400D,A,PHRCA3338,4/23/2022,Active,
263336LNP,Metformin 250mg Tablets,Pharma,General Market,Yes,PAWH200B,A,PHRPA2302,6/25/2022,Active,
631979EGI,Losartan 10mg Tablets Sample,Pharma,Sample,Yes,CADC400D,A,PHRCA1351,10/25/2021,Active,
825228IYV,Ibuprofen 5mg Tablets,Pharma,Sample,Yes,,B,PHRNJ9099,3/28/2021,Inactive,
587251RXS,Allergy Relief Caps,OTC,General Market,Yes,CADC400D,C,OTCCA9545,5/9/2018,Inactive,
689715CVA,Losartan 20mg Tablets Sample,Pharma,Sample,Yes,TXDC300C,C,PHRTX9867,2/26/2019,Inactive,
752553RLB,Pain Relief Tablets Sample,OTC,Sample,Yes,TXDC300C,C,OTCTX5952,12/10/2021,Active,
448150OBB,Sertraline 5mg Talbets,Pharma,Sample,Yes,ILWH500E,C,PHRIL3019,5/24/2018,Active,
369150GOR,Pain Relief Tablets,OTC,Sample,Yes,NJWH100A,A,OTCNJ3371,7/29/2025,Inactive,
996951ABZ,Atorvastatin 20mg Tablets,Pharma,General Market,Yes,TXDC300C,C,PHRTX5186,1/29/2025,Active,
891940YMI,Levothyroxine 250mg Tablets Sample,Pharma,Sample,Yes,NJWH100A,C,PHRNJ1354,4/27/2017,Active,
444248ITO,Hydrochlorothiazide 100mg Tablets Private Label,Pharma,Private Label,No,TXDC300C,A,PHRTX8800,7/27/2025,Active,
806653BER,Ibuprofen 250mg Tablets,Pharma,Private Label,Yes,TXDC300C,B,PHRTX8248,5/1/2019,Active,
611053CFJ,Losartan 250mg Tablets Private Label,Pharma,Private Label,Yes,CADC400D,C,PHRCA3295,8/1/2021,Inactive,
571240LDH,Allergy Relief Caps,OTC,Private Label,Yes,PAWH200B,A,OTCPA2656,1/30/2024,Active,
750145DVJ,Atorvastatin 100mg Tablets,Pharma,Private Label,Yes,,C,PHRIL7262,7/24/2017,Inactive,
771982MLJ,Metformin 10mg Tablets,Pharma,General Market,Yes,NJWH100A,C,PHRNJ1440,2/19/2019,Active,
631449AKN,Cold and Flu Capsules Private Label,OTC,Private Label,Yes,PAWH200B,B,OTCPA7506,2/19/2024,Inactive,
328296RZZ,Lisinopril 5mg Tablets,Pharma,Sample,Yes,TXDC300C,C,PHRTX5515,4/2/2023,Inactive,
798155SBD,Pain Relief Tablets Private Label,OTC,Private Label,Yes,,B,OTCCA7253,1/1/2018,Active,
373224DOD,Allergy Relief Caps,OTC,Sample,Yes,CADC400D,C,OTCCA6527,9/24/2020,Active,2/13/2030
497882VQM,Pain Relief Tablets Sapmle,OTC,Sample,Yes,PAWH200B,C,OTCPA1536,11/14/2019,Inactive,
290229ZQX,Losartan 10mg Tablets,Pharma,Private Label,Yes,ILWH500E,C,INVALIDFRG1,7/12/2023,Inactive,
327520LAP,Hydrochlorothiazide 50mg Tablets,Pharma,General Market,Yes,NJWH100A,C,PHRNJ6477,6/12/2022,Inactive,
341158UAO,Losartan 250mg Tablets Private Label,Pharma,Private Label,Yes,,B,PHRTX9275,3/18/2021,Inactive,
343035OLM,Cold and Flu Capsules,OTC,General Market,Yes,PAWH200B,B,OTCPA7725,10/23/2022,Inactive,
859970OOZ,Hydrochlorothiazide 250mg Tablets Sample,Pharma,Sample,Yes,PAWH200B,A,PHRPA8621,8/21/2022,Active,
285242YUQ,Hydrochlorothiazide 20mg Tablets,,General Market,Yes,CADC400D,B,PHRCA1348,4/22/2018,Inactive,
312363KXD,Allergy Relief Caps Sample,OTC,Sample,Yes,CADC400D,A,OTCCA9083,12/23/2021,Inactive,
636771YVC,Sertraline 250mg Tablets,Pharma,Sample,Yes,CADC400D,A,PHRCA1760,8/12/2021,Inactive,
933836HLJ,Amoxicillin 100mg Tablets Sample,Pharma,Sample,Yes,NJWH100A,A,PHRNJ2281,12/29/2024,Active,
558535IOG,Levothyroxine 100mg Tablets Sample,Pharma,Sample,Yes,ILWH500E,B,PHRIL6055,5/12/2018,Active,
935927LHB,Antacid Chewables,OTC,General Market,Yes,CADC400D,C,OTCCA2434,3/1/2022,Inactive,
147995KPK,Sertraline 100mg Tablets,Pharma,General Market,Yes,PAWH200B,C,PHRPA7888,5/28/2020,Active,
105449WCN,Hydrochlorothiazide 250mg Tablets,Pharma,General Market,Yes,PAWH200B,A,PHRPA9724,4/26/2017,Inactive,
537038YQX,Cough Syrup,OTC,,Yes,CADC400D,A,OTCCA4579,11/1/2019,Inactive,
63474O8SK,Sertraline 250mg Tablets,Pharma,Private Label,Yes,ILWH500E,A,PHRIL7103,10/10/2024,Inactive,
975592SCG,Cough Syrup Sample,OTC,Sample,Yes,TXDC300C,C,OTCTX9947,6/21/2020,Active,
734467YDY,Cough Syrup,OTC,Sample,Yes,CADC400D,C,OTCCA7873,8/9/2022,Inactive,7/15/2031
538860TZM,Ibuprofen 20mg Tablets,Pharma,Private Label,Yes,CADC400D,A,PHRCA4969,3/26/2019,Inactive,
740973YWC,Hydrochlorothiazide 5mg Tablets,Pharma,Private Label,Yes,NJWH100A,C,PHRNJ4742,12/12/2023,Active,
381116GWL,Metformin 50mg Tablets Sample,Pharma,Sample,No,NJWH100A,B,PHRNJ8017,11/21/2017,Active,
553513PCX,Cough Syrup,OTC,Sample,Yes,NJWH100A,B,OTCNJ3377,12/2/2023,Inactive,
734638EEV,Allergy Relief Caps Private Label,OTC,Private Label,Yes,CADC400D,A,OTCCA5839,9/2/2025,Inactive,
199807KAB,Omeprazole 50mg Tablets,Pharma,,Yes,ILWH500E,B,PHRIL9401,5/1/2021,Inactive,
645373BOH,Pain Relief Tablets,,Private Label,Yes,NJWH100A,A,OTCNJ7059,5/22/2024,Active,
410914XYO,Cough Syrup,OTC,General Market,Yes,NJWH100A,B,OTCNJ2541,4/29/2018,Inactive,
315219BMZ,Losartan 100mg Tablets Private Label,Pharma,Private Label,Yes,,B,PHRPA4256,12/8/2022,Active,
976708FSC,Cough Syrup Sample,OTC,Sample,Yes,NJWH100A,,OTCNJ8295,7/15/2021,Inactive,
666464DDD,Cold and Flu Capsules,OTC,Sample,Yes,ILWH500E,B,OTCIL7101,9/24/2025,Inactive,
640299FTE,Allergy Relief Caps,OTC,Sample,Yes,TXDC300C,C,OTCTX5885,3/17/2025,Active,
777207BMT,Antacid Chewables,OTC,General Market,Yes,ILWH500E,B,OTCIL9429,7/16/2024,Active,
920734ZPU,Hydrochlorothiazide 10mg Tablets Sample,Pharma,Sample,Yes,NJWH100A,A,PHRNJ3019,2/2/2020,Active,5/21/2032
396134YKK,Cold and Flu Capsules,OTC,General Market,Yes,TXDC300C,C,OTCTX8881,3/26/2020,Active,
154670XRV,Pain Relief Tablets Private Label,OTC,Private Label,No,CADC400D,C,OTCCA8370,3/25/2024,Inactive,
403732DKD,Cold and Flu Capsules,OTC,Sample,Yes,ILWH500E,B,OTCIL7300,9/3/2024,Active,9/3/2019
906252INW,Lisinopril 100mg Tablets Private Label,Pharma,Private Label,Yes,ILWH500E,B,PHRIL6230,9/9/2021,Active,
404524IDB,Losartan 20mg Tablets,Pharma,Private Label,Yes,TXDC300C,B,PHRTX7817,7/26/2017,Inactive,
208807MRC,Allergy Relief Caps Private Label,OTC,Private Label,Yes,ILWH500E,A,OTCIL4315,6/24/2024,Inactive,
291985QRP,Omeprazole 50mg Tablets,Pharma,,Yes,NJWH100A,A,PHRNJ5821,7/21/2020,Inactive,
623344JXO,Cold and Flu Capsules,OTC,Sample,Yes,CADC400D,A,OTCCA1982,4/22/2022,Inactive,
645396OUL,Antacid Chewables,OTC,General Market,No,PAWH200B,B,OTCPA1240,10/10/2019,Active,
624636KNW,Cough Syrup Private Label,OTC,Private Label,Yes,NJWH100A,A,OTCNJ7241,2/29/2024,Active,
937472PWH,Pain Relief Tablets Private Label,OTC,Private Label,Yes,ILWH500E,A,OTCIL3271,7/15/2023,Active,
961986HQB,Allergy Relief Caps,OTC,General Market,Yes,PAWH200B,B,OTCPA7694,2/28/2018,Active,
827462JTR,Antacid Chewablse,OTC,General Market,Yes,CADC400D,,OTCCA1698,2/7/2023,Inactive,
920252DSC,Sertraline 20mg Tablets,Pharma,General Market,Yes,NJWH100A,B,PHRNJ6425,8/4/2019,Active,
983650UAC,Pain Relief Tablets Private Label,OTC,Private Label,Yes,NJWH100A,A,OTCNJ9081,1/20/2018,Active,
972692TSP,Metformin 250mg Tablets Private Label,Pharma,Private Label,Yes,ILWH500E,A,PHRIL7618,6/1/2021,Inactive,
672803ITA,Lisinopril 5mg Tablets,Pharma,Private Label,Yes,PAWH200B,B,PHRPA5469,12/1/2020,Inactive,
582884KNY,Cough Syrup,OTC,General Market,Yes,ILWH500E,A,OTCIL2916,12/5/2020,Active,
594638DOZ,Cough Syrup Private Label,OTC,Private Label,Yes,,A,OTCIL7329,11/3/2021,Inactive,
966386BDD,Cold and Flu Capsules Private Label,OTC,Private Label,Yes,TXDC300C,B,OTCTX9541,3/2/2023,Inactive,
610140QOT,Lisinopril 250mg Tablets Private Label,Pharma,Private Label,Yes,NJWH100A,C,PHRNJ5305,8/18/2020,Active,
241653FBM,Antacid Chewables,OTC,General Market,No,PAWH200B,C,OTCPA6568,2/22/2024,Inactive,
196002QNL,Metformin 2m0g Tablets,Pharma,General Market,Yes,TXDC300C,A,PHRTX8382,1/23/2017,Inactive,
100468HCF,Lveothyroxine 250mg Tablets Sample,Pharma,Sample,Yes,TXDC300C,C,PHRTX1399,9/28/2020,Inactive,
364993AIS,Antacid Chewables,OTC,Sample,Yes,PAWH200B,A,OTCPA4854,10/17/2025,Active,8/28/2027
344207CJZ,Omeprazole 50mg Tablets Sample,Pharma,Sample,Yes,ILWH500E,C,PHRIL8274,1/11/2019,Active,
145793KRE,Atorvastatin 100mg Tablets,Pharma,General Market,Yes,NJWH100A,B,PHRNJ8027,4/3/2023,Inactive,
878684FUU,Pain Relief Tablets Private Label,OTC,Private Label,Yes,ILWH500E,A,OTCIL6996,9/1/2023,Active,
123493LCD,Omeprazole 250mg Tablets Private Label,Pharma,Private Label,Yes,ILWH500E,C,PHRIL5282,3/2/2023,Active,
745735QHU,Pain Relief Tablets Sample,,Sample,Yes,TXDC300C,,OTCTX4456,6/23/2019,Inactive,
640335BAV,Omeprazole 20mg Tablets,Pharma,General Market,Yes,CADC400D,B,PHRCA3858,2/6/2018,Inactive,
669371CMO,Pain Relief Tablets,OTC,Private Label,Yes,TXDC300C,C,OTCTX3637,10/28/2025,Inactive,
622089MXM,Levothyroxine 50mg Tablets Private Label,Pharma,Private Label,Yes,CADC400D,A,PHRCA4162,4/5/2020,Inactive,
240073BDQ,Omeprazole 250mg Tablets Private Label,Pharma,Private Label,Yes,TXDC300C,C,PHRTX8006,9/27/2022,Active,
734065RXR,Levothyroxine 20gm Tablets Sample,,Sample,Yes,NJWH100A,A,PHRNJ2713,8/19/2024,Inactive,
544447USL,Allergy Relief Caps,,General Market,Yes,CADC400D,C,OTCCA7132,10/22/2024,Active,
101325RJS,Antacid Chewables PrivateL abel,OTC,Private Label,Yes,NJWH100A,A,OTCNJ9042,2/27/2017,Inactive,
257816YKX,Cough Syrup Private Label,OTC,Private Label,Yes,ILWH500E,B,OTCIL4319,3/6/2024,Inactive,
552997PDZ,Cold and Flu Capsules,OTC,General Market,Yes,CADC400D,C,OTCCA9902,7/11/2023,Active,
867841NMX,Ibuprofen 250m gTablets,Pharma,General Market,Yes,TXDC300C,B,PHRTX2723,1/10/2024,Inactive,
902324RDB,Cold and Flu Capsules,OTC,General Market,Yes,ILWH500E,B,OTCIL7255,9/6/2022,Inactive,
634011ZYR,Pain Relief Tablets Sample,OTC,Sample,Yes,NJWH100A,A,OTCNJ4157,8/10/2020,Active,
543664JFM,Losartan 20mg Tablets,Pharma,General Market,Yes,TXDC300C,B,PHRTX4164,6/20/2023,Active,
201051HUK,Ibuprofen 100mg Tablets Sample,Pharma,Sample,Yes,PAWH200B,B,PHRPA6706,3/11/2018,Inactive,
803942EES,Allergy Relief Caps,OTC,Sample,Yes,TXDC300C,B,OTCTX4960,9/13/2018,Inactive,
555613PMR,Sertraline 10mg Tablest,Pharma,Private Label,Yes,NJWH100A,B,PHRNJ7813,2/3/2018,Active,
560984ONU,Hydrochlorothiazide 10mg Tablets,Pharma,Sample,Yes,ILWH500E,B,PHRIL6573,4/28/2023,Active,
621880HTF,Metformin 50mg Tablets,Pharma,Sample,Yes,TXDC300C,B,PHRTX2342,5/27/2023,Active,
443773NEH,Antacid Chewables Private Label,OTC,Private Label,Yes,ILWH500E,A,OTCIL5040,7/5/2018,Inactive,
597451JOJ,Cough Syrup Private Label,OTC,Private Label,Yes,NJWH100A,A,OTCNJ6472,4/29/2017,Active,
908489TPL,Pain Relief Tablets,OTC,,Yes,NJWH100A,C,OTCNJ7199,12/1/2022,Inactive,
863275NXH,Metformin 5mg Tablets Pirvate Label,Pharma,Private Label,Yes,NJWH100A,A,PHRNJ1112,5/9/2018,Inactive,
944067ZDB,Sertraline 5mg Tablets,Pharma,General Market,Yes,ILWH500E,C,PHRIL5354,12/24/2022,Active,
